iter	Passed	Remaining
0	11	110620
1	42	214195
2	48	162739
3	69	174362
4	80	160426
5	101	168390
6	122	174222
7	143	179237
8	164	182566
9	185	185422
10	206	187699
11	239	199060
12	288	221729
13	309	220983
14	331	220403
15	353	220273
16	374	219766
17	396	220111
18	420	220811
19	446	223041
20	479	228005
21	503	228424
22	528	229233
23	552	229708
24	575	229460
25	596	228864
26	617	228075
27	638	227321
28	666	228992
29	689	229207
30	710	228574
31	731	227866
32	752	227205
33	773	226741
34	794	226123
35	814	225483
36	834	224787
37	855	224203
38	880	224859
39	908	226114
40	928	225530
41	949	225083
42	969	224523
43	990	224180
44	1027	227387
45	1050	227268
46	1071	226945
47	1099	228011
48	1125	228573
49	1148	228495
50	1172	228681
51	1195	228801
52	1232	231245
53	1275	234918
54	1318	238436
55	1362	241898
56	1405	245183
57	1442	247202
58	1477	248944
59	1501	248734
60	1523	248278
61	1552	248783
62	1575	248471
63	1596	247851
64	1618	247442
65	1639	246782
66	1660	246217
67	1681	245620
68	1703	245226
69	1728	245238
70	1758	245908
71	1792	247107
72	1832	249174
73	1870	250869
74	1907	252378
75	1945	254105
76	1982	255432
77	2016	256450
78	2041	256345
79	2062	255811
80	2084	255200
81	2106	254806
82	2127	254237
83	2155	254415
84	2190	255562
85	2227	256741
86	2259	257402
87	2280	256908
88	2303	256504
89	2325	256040
90	2346	255490
91	2373	255633
92	2411	256913
93	2440	257137
94	2476	258239
95	2514	259392
96	2552	260599
97	2590	261729
98	2627	262770
99	2662	263562
100	2697	264347
101	2734	265307
102	2769	266093
103	2804	266850
104	2827	266489
105	2851	266199
106	2883	266606
107	2892	264888
108	2906	263767
109	2935	263918
110	2950	262895
111	2972	262388
112	2995	262059
113	3019	261840
114	3044	261680
115	3068	261423
116	3083	260494
117	3107	260215
118	3128	259746
119	3147	259145
120	3168	258671
121	3186	258006
122	3200	257005
123	3224	256844
124	3250	256807
125	3272	256482
126	3289	255744
127	3310	255290
128	3328	254669
129	3343	253826
130	3357	252936
131	3374	252279
132	3397	252023
133	3416	251539
134	3440	251420
135	3468	251574
136	3490	251258
137	3507	250681
138	3538	251025
139	3555	250409
140	3578	250210
141	3599	249884
142	3627	250052
143	3661	250601
144	3687	250622
145	3693	249269
146	3712	248839
147	3729	248262
148	3740	247295
149	3755	246590
150	3759	245220
151	3763	243863
152	3768	242541
153	3782	241849
154	3794	241040
155	3807	240280
156	3821	239610
157	3835	238945
158	3851	238387
159	3868	237932
160	3887	237585
161	3900	236843
162	3906	235782
163	3918	234999
164	3932	234391
165	3945	233725
166	3960	233197
167	3976	232718
168	3992	232235
169	4008	231810
170	4025	231409
171	4043	231039
172	4061	230721
173	4078	230296
174	4097	230062
175	4110	229421
176	4127	229045
177	4136	228241
178	4150	227722
179	4164	227185
180	4178	226672
181	4188	225938
182	4201	225389
183	4215	224905
184	4227	224274
185	4249	224231
186	4274	224294
187	4291	223954
188	4316	224055
189	4339	224048
190	4350	223419
191	4354	222421
192	4369	222031
193	4376	221206
194	4385	220509
195	4393	219740
196	4411	219529
197	4420	218840
198	4431	218232
199	4446	217887
200	4451	217018
201	4462	216446
202	4466	215581
203	4472	214774
204	4478	213978
205	4484	213206
206	4493	212565
207	4504	212042
208	4508	211214
209	4513	210395
210	4523	209837
211	4530	209183
212	4542	208706
213	4550	208073
214	4558	207454
215	4572	207120
216	4578	206393
217	4584	205703
218	4594	205218
219	4599	204463
220	4607	203860
221	4611	203107
222	4617	202444
223	4622	201760
224	4630	201164
225	4635	200454
226	4640	199786
227	4647	199196
228	4653	198536
229	4657	197841
230	4661	197145
231	4667	196509
232	4671	195833
233	4680	195326
234	4688	194814
235	4698	194372
236	4701	193682
237	4710	193221
238	4718	192704
239	4727	192233
240	4733	191666
241	4740	191161
242	4747	190611
243	4757	190226
244	4765	189754
245	4776	189397
246	4784	188907
247	4790	188365
248	4795	187796
249	4800	187234
250	4808	186771
251	4812	186152
252	4816	185542
253	4821	185000
254	4826	184441
255	4832	183923
256	4837	183391
257	4842	182839
258	4848	182344
259	4855	181894
260	4859	181342
261	4864	180814
262	4872	180398
263	4887	180247
264	4906	180239
265	4918	179978
266	4926	179603
267	4934	179181
268	4948	179009
269	4953	178527
270	4959	178044
271	4969	177742
272	4976	177305
273	4981	176823
274	4985	176293
275	4990	175826
276	4997	175431
277	5002	174945
278	5007	174484
279	5011	173985
280	5017	173544
281	5022	173066
282	5027	172627
283	5034	172228
284	5044	171940
285	5049	171522
286	5055	171081
287	5060	170652
288	5066	170248
289	5072	169846
290	5080	169496
291	5093	169335
292	5101	169019
293	5111	168740
294	5114	168273
295	5125	168036
296	5133	167701
297	5141	167375
298	5148	167039
299	5158	166800
300	5163	166395
301	5171	166081
302	5176	165673
303	5186	165411
304	5190	164998
305	5199	164715
306	5205	164351
307	5212	164010
308	5219	163710
309	5223	163280
310	5232	163007
311	5237	162625
312	5242	162240
313	5248	161891
314	5251	161468
315	5259	161173
316	5266	160878
317	5277	160689
318	5285	160411
319	5295	160176
320	5302	159870
321	5312	159663
322	5317	159317
323	5328	159134
324	5337	158906
325	5346	158664
326	5361	158589
327	5369	158341
328	5378	158111
329	5384	157779
330	5395	157622
331	5403	157366
332	5411	157105
333	5416	156749
334	5426	156566
335	5437	156393
336	5446	156173
337	5458	156029
338	5463	155696
339	5476	155606
340	5484	155348
